series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,rand_shocks.thisRepN,rand_shocks.thisTrialN,rand_shocks.thisN,rand_shocks.thisIndex,wait1_dur,intensity,text_7.started,text_12.started,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,main_text.started,confirm_text.started,rating,ratingScale.response,ratingScale.rt,text_2.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,text_4.stopped,text_9.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,main_text_rand.started,confirm_rand.started,scale_wasmoved,rating_rand_.response,rating_rand_.rt,participant,debug,fail_ma,max_ma,nramps,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,2.2,10,287.7100456999906,287.75386289999005,287.75386289999005,p,0.8594600999786053,288.62237460000324,290.8256757000054,290.8256757000054,328.4863929999992,328.4863929999992,0,0,36.628,328.4863929999992,328.4863929999992,y,3.670876899996074,,,,,,,,,,,sub-020,0,750,700,3,2023-06-07_09h06.22.701,painuncertainty_calibration,2022.2.5,143.37431448091453,
0,0,0,0,1,0,1,0,,,,,2.0,20,332.1947754000139,332.27339620000566,332.27339620000566,p,0.7961516999930609,333.07896189999883,335.07927799999015,335.07927799999015,345.5102159999951,345.5102159999951,12,12,9.414,345.5102159999951,345.5102159999951,y,3.071619499998633,336.09555790000013,,,,,,,,,,sub-020,0,750,700,3,2023-06-07_09h06.22.701,painuncertainty_calibration,2022.2.5,143.37431448091453,
0,0,0,0,2,0,2,0,,,,,2.4,30,348.621604999993,348.6987128999899,348.6987128999899,p,0.852054400020279,349.56037369999103,351.9648111000133,351.9648111000133,379.30481470000814,379.30481470000814,46,46,26.319,379.30481470000814,379.30481470000814,y,5.54859000002034,,,,,,,,,,,sub-020,0,750,700,3,2023-06-07_09h06.22.701,painuncertainty_calibration,2022.2.5,143.37431448091453,
0,0,0,0,3,0,3,0,,,,,2.5,40,384.8945876999933,384.9676049000118,384.9676049000118,p,0.8702649000042584,385.8492179000168,388.349902499991,388.349902499991,409.0513789000106,409.0513789000106,57,57,19.686,409.0513789000106,409.0513789000106,n,2.7618772000132594,389.36612449999666,,,,,,,,,,sub-020,0,750,700,3,2023-06-07_09h06.22.701,painuncertainty_calibration,2022.2.5,143.37431448091453,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-020,0,750,700,3,2023-06-07_09h06.22.701,painuncertainty_calibration,2022.2.5,143.37431448091453,
1,0,1,0,0,0,0,0,,,,,2.5,10,416.9502300999884,416.99935200001346,416.99935200001346,p,2.462202399998205,419.4713569000014,421.97167040000204,421.97167040000204,427.5414523000072,427.5414523000072,0,0,4.554,427.5414523000072,427.5414523000072,y,2.424528800009284,422.986919899995,,,,,,,,,,sub-020,0,750,700,3,2023-06-07_09h06.22.701,painuncertainty_calibration,2022.2.5,143.37431448091453,
1,0,1,0,1,0,1,0,,,,,2.2,20,430.00353929999983,430.0786699000164,430.0786699000164,p,0.7746850999828894,430.86165549998987,433.0633038000087,433.0633038000087,441.5691416999907,441.5691416999907,19,19,7.491,441.5691416999907,441.5691416999907,y,2.516754700016463,,,,,,,,,,,sub-020,0,750,700,3,2023-06-07_09h06.22.701,painuncertainty_calibration,2022.2.5,143.37431448091453,
1,0,1,0,2,0,2,0,,,,,2.4,30,444.146207999991,444.19734310000786,444.19734310000786,p,0.7845029000018258,444.9885001000075,447.3927631000115,447.3927631000115,456.3073737999948,456.3073737999948,39,39,7.892,456.3073737999948,456.3073737999948,y,3.8180532999977004,,,,,,,,,,,sub-020,0,750,700,3,2023-06-07_09h06.22.701,painuncertainty_calibration,2022.2.5,143.37431448091453,
1,0,1,0,3,0,3,0,,,,,2.1,40,460.17268680001143,460.24039620000985,460.24039620000985,p,0.6138341000187211,460.8658329999889,462.9700190000003,462.9700190000003,472.2414124000061,472.2414124000061,49,49,8.254,472.2414124000061,472.2414124000061,y,3.116499900002964,463.98795229999814,,,,,,,,,,sub-020,0,750,700,3,2023-06-07_09h06.22.701,painuncertainty_calibration,2022.2.5,143.37431448091453,
1,0,1,0,4,0,4,0,,,,,2.4,50,475.41643899999326,475.47139089999837,475.47139089999837,p,0.7103403000219259,476.19359599999734,478.59685510001145,478.59685510001145,485.5955224999925,485.5955224999925,61,61,5.981,485.5955224999925,485.5955224999925,n,3.5140341000224,479.61548290000064,,,,,,,,,,sub-020,0,750,700,3,2023-06-07_09h06.22.701,painuncertainty_calibration,2022.2.5,143.37431448091453,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-020,0,750,700,3,2023-06-07_09h06.22.701,painuncertainty_calibration,2022.2.5,143.37431448091453,
2,0,2,0,0,0,0,0,,,,,2.3,10,492.8817616000015,492.95965669999714,492.95965669999714,p,1.5339139999996405,494.5018701000081,496.8072286999959,496.8072286999959,503.50216440000804,503.50216440000804,0,0,5.678,503.50216440000804,503.50216440000804,y,2.119013299990911,497.82344579999335,,,,,,,,,,sub-020,0,750,700,3,2023-06-07_09h06.22.701,painuncertainty_calibration,2022.2.5,143.37431448091453,
2,0,2,0,1,0,1,0,,,,,2.2,20,505.66473089999636,505.732098700013,505.732098700013,p,0.7294188999803737,506.4681666000106,508.66989119999926,508.66989119999926,514.0451256000088,514.0451256000088,18,18,4.358,514.0451256000088,514.0451256000088,y,2.2645440000051167,509.68662329998915,,,,,,,,,,sub-020,0,750,700,3,2023-06-07_09h06.22.701,painuncertainty_calibration,2022.2.5,143.37431448091453,
2,0,2,0,2,0,2,0,,,,,2.3,30,516.3708926000108,516.4208425999968,516.4208425999968,p,0.5845120000012685,517.0184703000123,519.3238399999973,519.3238399999973,528.10925519999,528.10925519999,26,26,7.769,528.10925519999,528.10925519999,y,2.512690199975623,520.3390050000162,,,,,,,,,,sub-020,0,750,700,3,2023-06-07_09h06.22.701,painuncertainty_calibration,2022.2.5,143.37431448091453,
