series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,rand_shocks.thisRepN,rand_shocks.thisTrialN,rand_shocks.thisN,rand_shocks.thisIndex,wait1_dur,intensity,text_7.started,text_12.started,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,main_text.started,confirm_text.started,rating,ratingScale.response,ratingScale.rt,text_2.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,text_9.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,main_text_rand.started,confirm_rand.started,scale_wasmoved,rating_rand_.response,rating_rand_.rt,participant,debug,fail_ma,max_ma,nramps,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,2.1,10,288.60391540000273,288.6540917000093,288.6540917000093,p,1.2069729999930132,289.86961470000097,291.9742511000077,291.9742511000077,293.00622720000683,299.58614739999757,299.58614739999757,16,16,6.582,299.58614739999757,299.58614739999757,y,9.931204199994681,,,,,,,,,,sub-058,0,750,700,3,2023-10-11_13h34.19.549,painuncertainty_calibration,2022.2.5,146.18066469264485,
0,0,0,0,1,0,1,0,,,,,2.4,20,309.55324789999577,309.62899660000403,309.62899660000403,p,0.9133817999972962,310.55297810000775,312.9559969999973,312.9559969999973,313.9722935000027,318.52420610000263,318.52420610000263,25,25,4.553,318.52420610000263,318.52420610000263,y,2.4174144999997225,,,,,,,,,,sub-058,0,750,700,3,2023-10-11_13h34.19.549,painuncertainty_calibration,2022.2.5,146.18066469264485,
0,0,0,0,2,0,2,0,,,,,2.0,30,320.9949004000082,321.05414340000425,321.05414340000425,p,0.9431775999983074,322.00582820001,324.0058762999979,324.0058762999979,325.021966100001,328.6085563000088,328.6085563000088,46,46,3.587,328.6085563000088,328.6085563000088,y,2.868122499989113,,,,,,,,,,sub-058,0,750,700,3,2023-10-11_13h34.19.549,painuncertainty_calibration,2022.2.5,146.18066469264485,
0,0,0,0,3,0,3,0,,,,,2.1,40,331.511084400001,331.59048900000926,331.59048900000926,p,0.5749757999874419,332.1736772000004,334.2780109000014,334.2780109000014,335.29564540000865,341.11024900000484,341.11024900000484,57,57,5.816,341.11024900000484,341.11024900000484,y,2.647525599997607,,,,,,,,,,sub-058,0,750,700,3,2023-10-11_13h34.19.549,painuncertainty_calibration,2022.2.5,146.18066469264485,
0,0,0,0,4,0,4,0,,,,,2.5,50,343.8145145000017,343.8692805000028,343.8692805000028,p,0.6476224000070943,344.52900190000946,347.0294445000036,347.0294445000036,348.0435862000013,349.54184279999754,349.54184279999754,66,66,1.499,349.54184279999754,349.54184279999754,y,2.8642640999896685,,,,,,,,,,sub-058,0,750,700,3,2023-10-11_13h34.19.549,painuncertainty_calibration,2022.2.5,146.18066469264485,
0,0,0,0,5,0,5,0,,,,,2.5,60,352.45991050000885,352.52309499999683,352.52309499999683,p,0.5946112999954494,353.1272048000101,355.62758070000564,355.62758070000564,356.6418260000064,359.27178060000006,359.27178060000006,78,78,2.63,359.27178060000006,359.27178060000006,n,5.181394699990051,,,,,,,,,,sub-058,0,750,700,3,2023-10-11_13h34.19.549,painuncertainty_calibration,2022.2.5,146.18066469264485,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-058,0,750,700,3,2023-10-11_13h34.19.549,painuncertainty_calibration,2022.2.5,146.18066469264485,
1,0,1,0,0,0,0,0,,,,,2.2,10,372.50022990000434,372.5535629000078,372.5535629000078,p,1.0190347999887308,373.58161530000507,375.78281720000086,375.78281720000086,376.79938100000436,380.7345585000003,380.7345585000003,10,10,3.934,380.7345585000003,380.7345585000003,y,2.270502299987129,,,,,,,,,,sub-058,0,750,700,3,2023-10-11_13h34.19.549,painuncertainty_calibration,2022.2.5,146.18066469264485,
1,0,1,0,1,0,1,0,,,,,2.2,20,383.0631147999957,383.1171476000018,383.1171476000018,p,0.7211432999902172,383.8467360000068,386.0479525999981,386.0479525999981,387.0661620000028,389.6661008000083,389.6661008000083,25,25,2.601,389.6661008000083,389.6661008000083,y,2.594513200005167,,,,,,,,,,sub-058,0,750,700,3,2023-10-11_13h34.19.549,painuncertainty_calibration,2022.2.5,146.18066469264485,
1,0,1,0,2,0,2,0,,,,,2.1,30,392.31479260000924,392.37525019999885,392.37525019999885,p,0.821973700003582,393.20899060000374,395.3130641000025,395.3130641000025,396.3288934000011,399.7576703000086,399.7576703000086,38,38,3.428,399.7576703000086,399.7576703000086,y,2.0073529999936,,,,,,,,,,sub-058,0,750,700,3,2023-10-11_13h34.19.549,painuncertainty_calibration,2022.2.5,146.18066469264485,
