series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,rand_shocks.thisRepN,rand_shocks.thisTrialN,rand_shocks.thisN,rand_shocks.thisIndex,wait1_dur,intensity,text_7.started,text_12.started,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,main_text.started,confirm_text.started,rating,ratingScale.response,ratingScale.rt,text_2.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,text_4.stopped,text_9.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,main_text_rand.started,confirm_rand.started,scale_wasmoved,rating_rand_.response,rating_rand_.rt,participant,debug,fail_ma,max_ma,nramps,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,2.3,10,468.4979557999759,468.548197600001,468.548197600001,p,0.9644647000241093,469.52006459998665,471.8259578999714,471.8259578999714,481.3946317000082,481.3946317000082,0,0,8.532,481.3946317000082,481.3946317000082,y,4.262246900005266,,,,,,,,,,,sub-049,0,750,700,3,2023-09-18_10h05.04.000,painuncertainty_calibration,2022.2.5,143.17888632329021,
0,0,0,0,1,0,1,0,,,,,2.2,20,485.6920742999646,485.7719619999989,485.7719619999989,p,0.901405300013721,486.6821657999535,488.88355159998173,488.88355159998173,502.4735332999844,502.4735332999844,0,0,12.575,502.4735332999844,502.4735332999844,y,2.863743699970655,489.89997599995695,,,,,,,,,,sub-049,0,750,700,3,2023-09-18_10h05.04.000,painuncertainty_calibration,2022.2.5,143.17888632329021,
0,0,0,0,2,0,2,0,,,,,2.4,30,505.3799431999796,505.45501689997036,505.45501689997036,p,0.7856316999532282,506.2536012000055,508.65678879996995,508.65678879996995,519.996626099979,519.996626099979,10,10,10.326,519.996626099979,519.996626099979,y,2.7886507000075653,509.6729722999735,,,,,,,,,,sub-049,0,750,700,3,2023-09-18_10h05.04.000,painuncertainty_calibration,2022.2.5,143.17888632329021,
0,0,0,0,3,0,3,0,,,,,2.5,40,522.847442600003,522.9016581999604,522.9016581999604,p,0.8115585999912582,523.7209818999982,526.221373999957,526.221373999957,543.2842647999641,543.2842647999641,22,22,16.049,543.2842647999641,543.2842647999641,y,3.301074000017252,527.2376697,,,,,,,,,,sub-049,0,750,700,3,2023-09-18_10h05.04.000,painuncertainty_calibration,2022.2.5,143.17888632329021,
0,0,0,0,4,0,4,0,,,,,2.2,50,546.6435836000019,546.6967673999607,546.6967673999607,p,0.8721981000271626,547.57878479996,549.7815652999561,549.7815652999561,560.5379195999703,560.5379195999703,33,33,9.734,560.5379195999703,560.5379195999703,y,2.7832825999939814,,,,,,,,,,,sub-049,0,750,700,3,2023-09-18_10h05.04.000,painuncertainty_calibration,2022.2.5,143.17888632329021,
0,0,0,0,5,0,5,0,,,,,2.0,60,563.3590225999942,563.4344335999922,563.4344335999922,p,0.5272650999831967,563.9695721999742,565.969310299959,565.969310299959,574.8738658999791,574.8738658999791,47,47,7.885,574.8738658999791,574.8738658999791,y,2.99948660004884,566.9879768999526,,,,,,,,,,sub-049,0,750,700,3,2023-09-18_10h05.04.000,painuncertainty_calibration,2022.2.5,143.17888632329021,
0,0,0,0,6,0,6,0,,,,,2.3,70,577.9176770999911,577.9845356000005,577.9845356000005,p,0.7130077000474557,578.7068551999982,581.0060447999858,581.0060447999858,593.5819207999739,593.5819207999739,59,59,11.561,593.5819207999739,593.5819207999739,y,12.883811899984721,582.0218236999935,,,,,,,,,,sub-049,0,750,700,3,2023-09-18_10h05.04.000,painuncertainty_calibration,2022.2.5,143.17888632329021,
0,0,0,0,7,0,7,0,,,,,2.2,80,606.5220076999976,606.5782992999884,606.5782992999884,p,1.1989378000143915,607.7869683000026,609.9884744999581,609.9884744999581,616.5840890999534,616.5840890999534,71,71,5.581,616.5840890999534,616.5840890999534,n,1.3133922000415623,611.003484099987,,,,,,,,,,sub-049,0,750,700,3,2023-09-18_10h05.04.000,painuncertainty_calibration,2022.2.5,143.17888632329021,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-049,0,750,700,3,2023-09-18_10h05.04.000,painuncertainty_calibration,2022.2.5,143.17888632329021,
1,0,1,0,0,0,0,0,,,,,2.5,10,624.6127454999951,624.6639580999617,624.6639580999617,p,0.8892592000192963,625.5665978000034,628.0669807999511,628.0669807999511,636.1769083999679,636.1769083999679,0,0,7.093,636.1769083999679,636.1769083999679,y,13.264225399994757,629.0854300999781,,,,,,,,,,sub-049,0,750,700,3,2023-09-18_10h05.04.000,painuncertainty_calibration,2022.2.5,143.17888632329021,
