series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,rand_shocks.thisRepN,rand_shocks.thisTrialN,rand_shocks.thisN,rand_shocks.thisIndex,wait1_dur,intensity,text_7.started,text_12.started,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,main_text.started,confirm_text.started,rating,ratingScale.response,ratingScale.rt,text_2.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,text_9.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,main_text_rand.started,confirm_rand.started,scale_wasmoved,rating_rand_.response,rating_rand_.rt,participant,debug,fail_ma,max_ma,nramps,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,2.4,10,462.95773929997813,463.0052143000066,463.0052143000066,p,1.1857810000074096,464.19911589997355,466.60254479997093,466.60254479997093,467.63544360001106,475.5942325000069,475.5942325000069,21,21,7.961,475.5942325000069,475.5942325000069,y,2.5012433000374585,,,,,,,,,,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
0,0,0,0,1,0,1,0,,,,,2.4,20,478.13561699999264,478.20791110000573,478.20791110000573,p,0.6235960999620147,478.8402084999834,481.2430516000022,481.2430516000022,482.26089169998886,486.4779070999939,486.4779070999939,51,51,4.219,486.4779070999939,486.4779070999939,y,2.201790799968876,,,,,,,,,,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
0,0,0,0,2,0,2,0,,,,,2.1,30,488.7125659000012,488.7926222999813,488.7926222999813,p,0.6390838999650441,489.4383963999571,491.5430098999641,491.5430098999641,492.56245039997157,496.9745840000105,496.9745840000105,98,98,4.412,496.9745840000105,496.9745840000105,y,2.6330016999854706,,,,,,,,,,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
0,0,0,0,3,0,3,0,,,,,2.5,40,499.65807100001257,499.7244414999732,499.7244414999732,p,0.7543170000426471,500.4889179999591,502.98879440000746,502.98879440000746,504.0052769999602,507.14127660001395,507.14127660001395,100,100,3.135,507.14127660001395,507.14127660001395,n,3.1461951000383124,,,,,,,,,,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
1,0,1,0,0,0,0,0,,,,,2.4,10,515.0762636999716,515.1499027999816,515.1499027999816,p,1.089712499990128,516.2472260000068,518.6501813000068,518.6501813000068,519.6681625999627,523.1768551999703,523.1768551999703,8,8,3.51,523.1768551999703,523.1768551999703,y,2.015195499989204,,,,,,,,,,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
1,0,1,0,1,0,1,0,,,,,2.2,20,525.2383173999842,525.303971199959,525.303971199959,p,0.6788280000328086,525.9919568999903,528.1931241999846,528.1931241999846,529.2094328000094,534.5336477999808,534.5336477999808,79,79,5.323,534.5336477999808,534.5336477999808,y,2.4731908999965526,,,,,,,,,,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
1,0,1,0,2,0,2,0,,,,,2.1,30,537.0458576999954,537.1182043000008,537.1182043000008,p,0.585040999983903,537.7154185000109,539.8194264000049,539.8194264000049,540.8358577999752,545.5610444999766,545.5610444999766,96,96,4.726,545.5610444999766,545.5610444999766,y,2.0617730999947526,,,,,,,,,,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
1,0,1,0,3,0,3,0,,,,,2.2,40,547.6870285999612,547.7373698999872,547.7373698999872,p,0.5976798000046983,548.3481958999764,550.5502959999721,550.5502959999721,551.5679244999774,555.7443716999842,555.7443716999842,100,100,4.176,555.7443716999842,555.7443716999842,n,3.086753499985207,,,,,,,,,,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
2,0,2,0,0,0,0,0,,,,,2.1,10,562.8989015999832,562.968316799961,562.968316799961,p,1.7194488000241108,564.6973496999708,566.8035622999887,566.8035622999887,,571.6861338999588,571.6861338999588,3,3,3.859,571.6861338999588,571.6861338999588,y,2.185787199996412,,,,,,,,,,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
2,0,2,0,1,0,1,0,,,,,2.0,20,573.9225151999854,573.9830946999718,573.9830946999718,p,0.512185400002636,574.5045880000107,576.5043891000096,576.5043891000096,,579.7526033999748,579.7526033999748,41,41,2.232,579.7526033999748,579.7526033999748,y,2.102258900005836,,,,,,,,,,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
2,0,2,0,2,0,2,0,,,,,2.5,30,581.8950140000088,581.9708889999893,581.9708889999893,p,0.5165041000000201,582.498127800005,584.9985266999574,584.9985266999574,586.0152004999691,588.4621781999595,588.4621781999595,82,82,2.448,588.4621781999595,588.4621781999595,y,2.1206471000332385,,,,,,,,,,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
2,0,2,0,3,0,3,0,,,,,2.0,40,590.6347072999924,590.6938390999567,590.6938390999567,p,0.5374641999951564,591.2422123999568,593.2428602,593.2428602,594.2585345999687,597.2410354999593,597.2410354999593,96,96,2.983,597.2410354999593,597.2410354999593,y,1.8468129000393674,,,,,,,,,,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
2,0,2,0,4,0,4,0,,,,,2.5,50,599.1353263999918,599.2015785999829,599.2015785999829,p,0.5573421000153758,599.7710241999594,602.2718188000144,602.2718188000144,603.2882554999669,606.4437091000145,606.4437091000145,100,100,3.156,606.4437091000145,606.4437091000145,n,2.187007700034883,,,,,,,,,,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
,,,,,,,,0,0,0,0,3.0,38,,,,,,630.9277249999577,633.9281323999749,633.9281323999749,634.9450795999728,,,87,,,,,,,629.5271777999587,629.5271777999587,p,1.3921776000061072,638.5219474000041,638.5219474000041,1,87,3.524,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
,,,,,,,,1,0,1,0,3.0,19,,,,,,639.2758253999637,642.2762884999975,642.2762884999975,643.29310109996,,,18,,,,,,,638.5219474000041,638.5219474000041,p,0.7412433999706991,646.9091058999766,646.9091058999766,1,18,3.573,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
,,,,,,,,2,0,2,0,3.0,22,,,,,,647.6171211999608,650.6177496999735,650.6177496999735,651.635650799959,,,31,,,,,,,646.9091058999766,646.9091058999766,p,0.6988537000142969,654.2911076999735,654.2911076999735,1,31,2.613,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
,,,,,,,,3,0,3,0,3.0,25,,,,,,655.0763913000119,658.0768523999723,658.0768523999723,659.094651899999,,,43,,,,,,,654.2911076999735,654.2911076999735,p,0.7717033000080846,661.272957899957,661.272957899957,1,43,2.121,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
,,,,,,,,4,0,4,0,3.0,50,,,,,,662.2300355999614,665.2304656999768,665.2304656999768,666.248424999998,,,100,,,,,,,661.272957899957,661.272957899957,p,0.949905099987518,668.5409449000144,668.5409449000144,1,100,2.259,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
,,,,,,,,5,0,5,0,3.0,10,,,,,,669.321228899993,672.3218088999856,672.3218088999856,673.3389511000132,,,2,,,,,,,668.5409449000144,668.5409449000144,p,0.7698630000231788,676.4692970999749,676.4692970999749,1,2,3.079,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
,,,,,,,,6,0,6,0,3.0,41,,,,,,677.0585514999693,680.0586230999907,680.0586230999907,681.0765687999665,,,96,,,,,,,676.4692970999749,676.4692970999749,p,0.5790596999577247,684.6006362999906,684.6006362999906,1,96,3.469,sub-059,0,750,700,3,2023-10-18_15h05.09.711,painuncertainty_calibration,2022.2.5,144.9876324860953,
