series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,rand_shocks.thisRepN,rand_shocks.thisTrialN,rand_shocks.thisN,rand_shocks.thisIndex,wait1_dur,intensity,text_7.started,text_12.started,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,main_text.started,confirm_text.started,rating,ratingScale.response,ratingScale.rt,text_2.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,text_9.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,main_text_rand.started,confirm_rand.started,scale_wasmoved,rating_rand_.response,rating_rand_.rt,participant,debug,fail_ma,max_ma,nramps,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,2.0,10,84.51754699999992,84.57829620000007,84.57829620000007,p,5.536245399999871,90.12781659999996,92.12783450000006,92.12783450000006,93.1686021999999,99.54347899999993,99.54347899999993,12,12,6.377,99.54347899999993,99.54347899999993,y,4.96286699999996,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
0,0,0,0,1,0,1,0,,,,,2.1,20,104.54986140000005,104.62315779999994,104.62315779999994,p,0.9873640999999225,105.62270609999996,107.72765090000007,107.72765090000007,108.74381679999988,112.6785382999999,112.6785382999999,12,12,3.934,112.6785382999999,112.6785382999999,y,2.9161447999997563,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
0,0,0,0,2,0,2,0,,,,,2.4,30,115.6272649,115.70731890000002,115.70731890000002,p,0.6305917999998201,116.34624280000003,118.74924880000003,118.74924880000003,119.7644330999999,122.5741000999999,122.5741000999999,15,15,2.81,122.5741000999999,122.5741000999999,y,2.3480696999999964,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
0,0,0,0,3,0,3,0,,,,,2.4,40,124.96348319999993,125.03476060000003,125.03476060000003,p,0.5839000999999371,125.62559029999989,128.02846929999987,128.02846929999987,129.0432452,131.76246450000008,131.76246450000008,19,19,2.72,131.76246450000008,131.76246450000008,y,2.4316542999997637,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
0,0,0,0,4,0,4,0,,,,,2.2,50,134.2364083,134.30686059999994,134.30686059999994,p,0.6150022999997873,134.9316179,137.13343510000004,137.13343510000004,138.1491721,142.87524209999992,142.87524209999992,27,27,4.727,142.87524209999992,142.87524209999992,y,2.2872851999998147,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
0,0,0,0,5,0,5,0,,,,,2.2,60,145.20292160000008,145.28044150000005,145.28044150000005,p,0.8097443999999996,146.09965009999996,148.30148129999998,148.30148129999998,149.31711870000004,153.1959159999999,153.1959159999999,34,34,3.879,153.1959159999999,153.1959159999999,y,2.910523599999806,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
0,0,0,0,6,0,6,0,,,,,2.1,70,156.1383942,156.2190971,156.2190971,p,0.6150068999997984,156.8440799,158.94851049999988,158.94851049999988,159.96474740000008,164.03728610000007,164.03728610000007,49,49,4.073,164.03728610000007,164.03728610000007,y,2.9821984999998676,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
0,0,0,0,7,0,7,0,,,,,2.2,80,167.05737180000006,167.1300607999999,167.1300607999999,p,0.7037386999998034,167.84545249999996,170.04738659999998,170.04738659999998,171.0641427999999,173.1844489,173.1844489,51,51,2.121,173.1844489,173.1844489,y,12.298208099999783,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
0,0,0,0,8,0,8,0,,,,,2.0,90,185.52396090000002,185.5982254999999,185.5982254999999,p,0.8040558999998666,186.41026869999996,188.41041339999992,188.41041339999992,189.42514749999987,192.16612639999994,192.16612639999994,58,58,2.742,192.16612639999994,192.16612639999994,y,1.2676672000000053,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
0,0,0,0,9,0,9,0,,,,,2.4,100,193.49964980000004,193.55009760000007,193.55009760000007,p,0.47607259999972484,194.03612509999994,196.4391389,196.4391389,197.45641440000009,200.3613745,200.3613745,57,57,2.907,200.3613745,200.3613745,y,1.3602796000000126,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
0,0,0,0,10,0,10,0,,,,,2.2,110,201.7652235999999,201.83570409999993,201.83570409999993,p,0.7662049999998999,202.6135084,204.81516910000005,204.81516910000005,205.8322937999999,209.00808269999993,209.00808269999993,73,73,3.176,209.00808269999993,209.00808269999993,y,1.9940937999999733,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
0,0,0,0,11,0,11,0,,,,,2.4,120,211.03779009999994,211.11464269999988,211.11464269999988,p,0.6717264999997496,211.79716570000005,214.19839860000002,214.19839860000002,215.21512729999995,217.23150250000003,217.23150250000003,84,84,2.018,217.23150250000003,217.23150250000003,n,1.8747850999998263,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
1,0,1,0,0,0,0,0,,,,,2.5,10,231.07074379999995,231.12408099999993,231.12408099999993,p,0.5984407999999348,231.73522739999999,234.23584789999995,234.23584789999995,235.2516760000001,240.61671279999996,240.61671279999996,5,5,5.365,240.61671279999996,240.61671279999996,y,0.7696446999998443,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
1,0,1,0,1,0,1,0,,,,,2.1,20,241.42984769999998,241.50112239999999,241.50112239999999,p,0.5409179999999196,242.04925490000005,244.153914,244.153914,245.16985249999993,248.12419019999993,248.12419019999993,7,7,2.955,248.12419019999993,248.12419019999993,y,1.0462604999997893,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
1,0,1,0,2,0,2,0,,,,,2.3,30,249.2160475999999,249.2865486999999,249.2865486999999,p,0.5151108000000022,249.81423019999988,252.11309699999993,252.11309699999993,253.12835139999993,257.68796509999993,257.68796509999993,7,7,4.56,257.68796509999993,257.68796509999993,y,0.9780908999998701,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
1,0,1,0,3,0,3,0,,,,,2.1,40,258.7137212,258.78148629999987,258.78148629999987,p,0.6458162999999786,259.44016970000007,261.5444270999999,261.5444270999999,262.56207130000007,264.0496171,264.0496171,5,5,1.49,264.0496171,264.0496171,y,1.1049234999998134,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
1,0,1,0,4,0,4,0,,,,,2.5,50,265.1875783999999,265.26751590000003,265.26751590000003,p,0.7272892999999385,266.00327100000004,268.5037001999999,268.5037001999999,269.5207410999999,272.76620619999994,272.76620619999994,17,17,3.248,272.76620619999994,272.76620619999994,y,1.1394475999998122,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
1,0,1,0,5,0,5,0,,,,,2.4,60,273.9488819999999,274.01813590000006,274.01813590000006,p,0.6563217999998869,274.6849067999999,277.0880889,277.0880889,278.1044959000001,281.87812239999994,281.87812239999994,17,17,3.774,281.87812239999994,281.87812239999994,y,0.9479859000000488,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
1,0,1,0,6,0,6,0,,,,,2.5,70,282.86907429999997,282.9429616,282.9429616,p,0.4668851999999788,283.4221536,285.9223056999999,285.9223056999999,286.93855239999994,288.8582067,288.8582067,17,17,1.92,288.8582067,288.8582067,y,1.0480948999997963,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
1,0,1,0,7,0,7,0,,,,,2.0,80,289.9527169999999,290.0203262,290.0203262,p,0.5100388000000748,290.5410878,292.54154219999987,292.54154219999987,293.56005759999994,295.61752009999987,295.61752009999987,25,25,2.057,295.61752009999987,295.61752009999987,y,1.1285679000000073,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
1,0,1,0,8,0,8,0,,,,,2.2,90,296.7940403,296.8611768999999,296.8611768999999,p,0.6849848999997903,297.5556924,299.7574703,299.7574703,300.7706662999999,302.01934370000004,302.01934370000004,41,41,1.249,302.01934370000004,302.01934370000004,y,1.3831448999999338,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
1,0,1,0,9,0,9,0,,,,,2.3,100,303.4623905000001,303.5152287000001,303.5152287000001,p,0.8228951999999481,304.3480663999999,306.6471497,306.6471497,307.6644555999999,310.3485352,310.3485352,52,52,2.685,310.3485352,310.3485352,y,1.0131372999999257,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
1,0,1,0,10,0,10,0,,,,,2.5,110,311.40632349999987,311.4744261999999,311.4744261999999,p,0.7274629999999433,312.2103539,314.7109384999999,314.7109384999999,315.72799409999993,318.8480147,318.8480147,60,60,3.121,318.8480147,318.8480147,y,0.8749414999999772,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
1,0,1,0,11,0,11,0,,,,,2.0,120,319.76848960000007,319.8362284,319.8362284,p,0.6618339999999989,320.5103340999999,322.5105756999999,322.5105756999999,323.52760349999994,325.7166101,325.7166101,66,66,2.189,325.7166101,325.7166101,n,1.1733897999999954,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
2,0,2,0,0,0,0,0,,,,,2.2,10,332.86273319999987,332.9214628,332.9214628,p,0.704914099999769,333.6365561,335.8383117000001,335.8383117000001,336.8555211999999,338.921378,338.921378,6,6,2.066,338.921378,338.921378,y,0.6723124999998618,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
2,0,2,0,1,0,1,0,,,,,2.1,20,339.6409601999999,339.7072378999999,339.7072378999999,p,0.4388765000001058,340.1589326999999,342.2626694999999,342.2626694999999,343.27868220000005,348.3123413999999,348.3123413999999,6,6,5.033,348.3123413999999,348.3123413999999,y,0.8577393000000484,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
2,0,2,0,2,0,2,0,,,,,2.4,30,349.21762910000007,349.28482699999995,349.28482699999995,p,0.49304719999986446,349.7842656,352.1876324,352.1876324,353.2089129000001,354.5887218999999,354.5887218999999,6,6,1.382,354.5887218999999,354.5887218999999,y,1.0374328999998852,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
2,0,2,0,3,0,3,0,,,,,2.0,40,355.6752474,355.7434876,355.7434876,p,0.5467469999998684,356.2991124,358.2994143000001,358.2994143000001,359.3191611,362.2490751999999,362.2490751999999,9,9,2.932,362.2490751999999,362.2490751999999,y,0.8485485000001063,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
2,0,2,0,4,0,4,0,,,,,2.2,50,363.1413035999999,363.20994339999993,363.20994339999993,p,0.7039001999999073,363.9276508999999,366.12676009999996,366.12676009999996,367.14253400000007,370.4025382,370.4025382,10,10,3.261,370.4025382,370.4025382,y,0.863420799999858,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
2,0,2,0,5,0,5,0,,,,,2.5,60,371.3108483000001,371.3772173,371.3772173,p,0.5687768999998752,371.9536687,374.4543206000001,374.4543206000001,375.4692639,379.66112139999996,379.66112139999996,16,16,4.193,379.66112139999996,379.66112139999996,y,1.0215733,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
2,0,2,0,6,0,6,0,,,,,2.1,70,380.7278434,380.79514889999996,380.79514889999996,p,0.6713641999999709,381.4757314000001,383.5801999999999,383.5801999999999,384.5986782,390.2425406,390.2425406,17,17,5.645,390.2425406,390.2425406,y,0.9592539000000215,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
2,0,2,0,7,0,7,0,,,,,2.5,80,391.24804040000004,391.3174557,391.3174557,p,0.47656609999989996,391.8034797999999,394.3037571,394.3037571,395.3202082999999,397.02427940000007,397.02427940000007,23,23,1.705,397.02427940000007,397.02427940000007,y,1.1063752000000022,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
2,0,2,0,8,0,8,0,,,,,2.0,90,398.17061349999994,398.24325440000007,398.24325440000007,p,0.44763160000002244,398.70033820000003,400.70045959999993,400.70045959999993,401.7197653999999,403.58057069999995,403.58057069999995,29,29,1.862,403.58057069999995,403.58057069999995,y,1.2137230999999247,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
2,0,2,0,9,0,9,0,,,,,2.5,100,404.85362140000007,404.90954009999996,404.90954009999996,p,0.516169299999774,405.43725799999993,407.9376508999999,407.9376508999999,408.95519969999987,412.1440425999999,412.1440425999999,41,41,3.189,412.1440425999999,412.1440425999999,y,1.0420510000001286,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
2,0,2,0,10,0,10,0,,,,,2.3,110,413.2321833000001,413.2996421,413.2996421,p,0.5266159000000243,413.83426140000006,416.1401246999999,416.1401246999999,417.1577356,419.62575089999996,419.62575089999996,49,49,2.469,419.62575089999996,419.62575089999996,n,1.15264430000002,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
,,,,,,,,0,0,0,0,3.0,33,,,,,,449.31036659999995,452.31088309999996,452.31088309999996,453.32674900000006,,,3,,,,,,,447.82962109999994,447.82962109999994,p,1.4682537999999568,455.48536579999995,455.48536579999995,1,3,2.108,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
,,,,,,,,1,0,1,0,3.0,56,,,,,,456.39468310000007,459.3956501,459.3956501,460.41110490000005,,,13,,,,,,,455.48536579999995,455.48536579999995,p,0.9013023999998495,463.0783653000001,463.0783653000001,1,13,2.622,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
,,,,,,,,2,0,2,0,3.0,102,,,,,,464.2428689000001,467.2433363,467.2433363,468.2605589,,,46,,,,,,,463.0783653000001,463.0783653000001,p,1.155571099999861,471.17000929999995,471.17000929999995,1,46,2.864,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
,,,,,,,,3,0,3,0,3.0,64,,,,,,472.20190260000004,475.2025897000001,475.2025897000001,476.2200487,,,14,,,,,,,471.17000929999995,471.17000929999995,p,1.02456159999997,478.4601656,478.4601656,1,14,2.186,sub-018,0,750,700,3,2023-05-31_12h14.49.198,painuncertainty_calibration,2022.2.5,142.751914303288,
